intention,split,message
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,train,"Bonjour, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,train,"Madame, Monsieur, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,train,"Bonjour la préfecture, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,train,"Mesdames, Messieurs, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,train,"À l'attention du service des étrangers, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,test,"Service compétent, bonjour, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,test,"Salutations, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,test,"Bonjour à toute l'équipe, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,test,"Madame, Monsieur le Préfet, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
je_veux_retourner_dans_mon_pays_pour_motif_exceptionnel,test,"Cher service étranger, je souhaiterais jE VEUX RETOURNER DANS MON PAYS POUR MOTIF EXCEPTIONNEL."
autres,train,"Bonjour, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,train,"Madame, Monsieur, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,train,"Bonjour la préfecture, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,train,"Mesdames, Messieurs, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,train,"À l'attention du service des étrangers, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,test,"Service compétent, bonjour, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,test,"Salutations, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,test,"Bonjour à toute l'équipe, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,test,"Madame, Monsieur le Préfet, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
autres,test,"Cher service étranger, je souhaiterais la demande ne correspond à aucune des intentions listées ci-dessus."
